Year,Round,EventName,Country,SessionType,DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Status,Points
2023,1,Bahrain Grand Prix,Bahrain,R,63,G RUSSELL,RUS,Mercedes,7.0,6.0,Finished,6.0
2023,1,Bahrain Grand Prix,Bahrain,R,77,V BOTTAS,BOT,Alfa Romeo,8.0,12.0,Finished,4.0
2023,1,Bahrain Grand Prix,Bahrain,R,10,P GASLY,GAS,Alpine,9.0,20.0,Finished,2.0
2023,1,Bahrain Grand Prix,Bahrain,R,23,A ALBON,ALB,Williams,10.0,15.0,Finished,1.0
2023,1,Bahrain Grand Prix,Bahrain,R,22,Y TSUNODA,TSU,AlphaTauri,11.0,14.0,Finished,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,2,L SARGEANT,SAR,Williams,12.0,16.0,Lapped,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,20,K MAGNUSSEN,MAG,Haas F1 Team,13.0,17.0,Lapped,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,21,N DE VRIES,DEV,AlphaTauri,14.0,19.0,Lapped,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,27,N HULKENBERG,HUL,Haas F1 Team,15.0,10.0,Lapped,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,24,G ZHOU,ZHO,Alfa Romeo,16.0,13.0,Lapped,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,4,L NORRIS,NOR,McLaren,17.0,11.0,Lapped,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,31,E OCON,OCO,Alpine,18.0,9.0,Retired,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,16,C LECLERC,LEC,Ferrari,19.0,3.0,Retired,0.0
2023,1,Bahrain Grand Prix,Bahrain,R,81,O PIASTRI,PIA,McLaren,20.0,18.0,Retired,0.0
2024,1,Bahrain Grand Prix,Bahrain,FP1,1,M VERSTAPPEN,VER,Red Bull Racing,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP1,2,L SARGEANT,SAR,Williams,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP1,3,D RICCIARDO,RIC,RB,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP1,4,L NORRIS,NOR,McLaren,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP1,10,P GASLY,GAS,Alpine,,,,
